Gamma,detector,alarms,N_streams,FPR,CI_low,CI_high,threshold,iso_fpr_calibrated
1,CUSUM,134,2000,0.067000000000000004,0.056851667295413418,0.078808495650151633,17.579107421875001,True
1,ADWIN,10,2000,0.0050000000000000001,0.0027181808584985597,0.0091796959499418455,0.78991981436199621,False
11.58,CUSUM,661,2000,0.33050000000000002,0.31022663476963364,0.35142324425871108,17.579107421875001,True
11.58,ADWIN,88,2000,0.043999999999999997,0.035851820416416519,0.053896526704086137,0.78991981436199621,False
50,CUSUM,977,2000,0.48849999999999999,0.46663577690442393,0.51040831518304475,17.579107421875001,True
50,ADWIN,272,2000,0.13600000000000001,0.12167290401775677,0.15172270640299534,0.78991981436199621,False
200,CUSUM,1115,2000,0.5575,0.53564268415035887,0.57913685541229698,17.579107421875001,True
200,ADWIN,488,2000,0.24399999999999999,0.22567940957821453,0.26330211862978692,0.78991981436199621,False
