nu,f0_hat,c,lambda_Eco,lambda_Oracle,lambda_Concept,FPR_Eco,FPR_Oracle,FPR_Concept,ADD_Eco_L1,ADD_Oracle,ADD_Concept,DetRate_Eco_L1,DetRate_Oracle,DetRate_Concept,ratio,ratio_oracle,ratio_pred
3,0.63661977236758149,0.5,35.157214843749998,27.344722656249999,7.8134921874999996,0.050000000000000003,0.050000000000000003,0.050000000000000003,89.924999999999997,73.174999999999997,42.125,1,1,1,0.4684459271615235,0.57567475230611553,0.61685027506808465
4,0.53033008588991071,0.5,29.297845703124999,23.4384765625,7.8134921874999996,0.050000000000000003,0.050000000000000003,0.050000000000000003,106.825,77.099999999999994,48.350000000000001,1,1,1,0.45260940791013338,0.6271076523994813,0.88888888888888873
4.5,0.50653221364139112,0.5,23.4384765625,17.212896850585942,9.7666152343749992,0.050000000000000003,0.050000000000000003,0.050000000000000003,86.325000000000003,56.174999999999997,74.474999999999994,1,1,1,0.86272806255430057,1.3257676902536715,0.97437440731581215
5,0.4900701292638151,0.5,31.250968749999998,20.813967468261719,9.7666152343749992,0.050000000000000003,0.050000000000000003,0.050000000000000003,117.7,75.099999999999994,77.400000000000006,1,1,1,0.65760407816482591,1.0306258322237019,1.0409348391773936
7,0.45552802778699331,0.5,23.4384765625,16.846686279296875,9.2783344726562493,0.050000000000000003,0.050000000000000003,0.050000000000000003,103.02500000000001,63.325000000000003,75.275000000000006,1,1,1,0.73064790099490418,1.1887090406632452,1.2047856934923535
30,0.40951821744417399,0.5,19.532230468750001,17.579107421875001,10.254895996093749,0.050000000000000003,0.050000000000000003,0.050000000000000003,72.049999999999997,59.649999999999999,81.375,1,1,1,1.1294240111034004,1.3642078792958927,1.4907113440564062
