data_source,Ticker,q_hat_2020,lb_pvalue_2020,n_days_2020
firstrate,SPY,0.57707509881422925,0.55313055076855477,253
firstrate,PFF,0.58498023715415015,0.8283309642178005,253
firstrate,VNQ,0.51778656126482214,0.83221237190957231,253
firstrate,BWX,0.54761904761904767,0.27385940449324153,252
