data_source,Date,S_over_thr_Data,S_over_thr_Concept
firstrate,2020-01-02,0,0.034135188866799206
firstrate,2020-01-03,0,0.045864811133200803
firstrate,2020-01-06,0,0.034135188866799206
firstrate,2020-01-07,0,0.045864811133200803
firstrate,2020-01-08,0,0.034135188866799206
firstrate,2020-01-09,0,0.068270377733598411
firstrate,2020-01-10,0,0.045864811133200803
firstrate,2020-01-13,0,0.036540755467196817
firstrate,2020-01-14,0,0.045864811133200803
firstrate,2020-01-15,0,0.034135188866799206
firstrate,2020-01-16,0,0.068270377733598411
firstrate,2020-01-17,0,0.10240556660039761
firstrate,2020-01-21,0,0.045864811133200803
firstrate,2020-01-22,0,0.091729622266401606
firstrate,2020-01-23,0,0.03759443339960241
firstrate,2020-01-24,0,0.083459244532803206
firstrate,2020-01-27,0.00028116448889108011,0.129324055666004
firstrate,2020-01-28,0,0.075188866799204807
firstrate,2020-01-29,0,0.12105367793240558
firstrate,2020-01-30,0,0.066918489065606379
firstrate,2020-01-31,0.00071950848341954376,0.11278330019880718
firstrate,2020-02-03,0,0.058648111332007979
firstrate,2020-02-04,0.00021880340984714678,0.068270377733598411
firstrate,2020-02-05,0,0.10240556660039761
firstrate,2020-02-06,0,0.13654075546719682
firstrate,2020-02-07,0,0.070675944333996016
firstrate,2020-02-10,0,0.10481113320079523
firstrate,2020-02-11,0,0.13894632206759444
firstrate,2020-02-12,0,0.17308151093439364
firstrate,2020-02-13,0,0.10721669980119283
firstrate,2020-02-14,0,0.14135188866799203
firstrate,2020-02-18,0,0.075487077534791253
firstrate,2020-02-19,0,0.10962226640159045
firstrate,2020-02-20,0,0.045864811133200803
firstrate,2020-02-21,0,0.091729622266401606
firstrate,2020-02-24,0.0047882228218125242,0.13759443339960239
firstrate,2020-02-25,0.0079255358120901131,0.18345924453280321
firstrate,2020-02-26,0.0071514778927845492,0.22932405566600397
firstrate,2020-02-27,0.014434857293779333,0.27518886679920473
firstrate,2020-02-28,0.013827275203578467,0.32105367793240552
firstrate,2020-03-02,0.021372789028779194,0.26691848906560633
firstrate,2020-03-03,0.023998741878659295,0.31278330019880707
firstrate,2020-03-04,0.029913682346230857,0.25864811133200788
firstrate,2020-03-05,0.034332226852840236,0.30451292246520867
firstrate,2020-03-06,0.034730850384917862,0.3503777335984094
firstrate,2020-03-09,0.066374777728729017,0.39624254473161025
firstrate,2020-03-10,0.079940408047762673,0.342107355864811
firstrate,2020-03-11,0.091835241375787788,0.38797216699801179
firstrate,2020-03-12,0.13772751073512363,0.43383697813121264
firstrate,2020-03-13,0.17068845387191467,0.37970178926441339
firstrate,2020-03-16,0.22893168144467105,0.42556660039761429
firstrate,2020-03-17,0.23592941349309768,0.37143141153081505
firstrate,2020-03-18,0.24763151571866995,0.41729622266401589
firstrate,2020-03-19,0.24687379210012031,0.3631610337972167
firstrate,2020-03-20,0.25236445641675798,0.40902584493041755
firstrate,2020-03-23,0.25892021342892146,0.45489065606361845
firstrate,2020-03-24,0.29774877987678017,0.40075546719681931
firstrate,2020-03-25,0.29881502444760799,0.34662027833002007
firstrate,2020-03-26,0.31097040856686609,0.29248508946322083
firstrate,2020-03-27,0.31414254651695223,0.33834990059642162
firstrate,2020-03-30,0.31744364093176092,0.28421471172962243
firstrate,2020-03-31,0.31773172410961276,0.33007952286282316
firstrate,2020-04-01,0.32618333183980092,0.37594433399602395
firstrate,2020-04-02,0.32794613106840509,0.32180914512922476
firstrate,2020-04-03,0.32793162572131385,0.36767395626242549
firstrate,2020-04-06,0.34575474046940419,0.31353876739562631
firstrate,2020-04-07,0.34487619242942125,0.25940357852882706
firstrate,2020-04-08,0.34891233204254168,0.20526838966202784
firstrate,2020-04-09,0.34905053687036214,0.15113320079522863
firstrate,2020-04-13,0.34842830498234834,0.19699801192842942
firstrate,2020-04-14,0.35131138583854665,0.14286282306163017
firstrate,2020-04-15,0.35250904634279467,0.18872763419483096
firstrate,2020-04-16,0.35168754814477571,0.13459244532803175
firstrate,2020-04-17,0.3540428843555613,0.10721669980119283
firstrate,2020-04-20,0.35444356018862377,0.12632206759443335
firstrate,2020-04-21,0.35764136516057105,0.17218687872763411
firstrate,2020-04-22,0.35849528269825487,0.11805168986083489
firstrate,2020-04-23,0.35757109816317867,0.16391650099403568
firstrate,2020-04-24,0.35779419247472138,0.10978131212723645
firstrate,2020-04-27,0.3577756447091377,0.068270377733598411
firstrate,2020-04-28,0.35692835266087009,0.10151093439363805
firstrate,2020-04-29,0.35923956834530663,0.047375745526838854
firstrate,2020-04-30,0.3590621324998407,0.093240556660039664
firstrate,2020-05-01,0.36097866196941764,0.13910536779324045
firstrate,2020-05-04,0.36007518214157019,0.08497017892644125
firstrate,2020-05-05,0.35957722591123703,0.068270377733598411
firstrate,2020-05-06,0.35894312550559143,0.076699801192842851
firstrate,2020-05-07,0.35887486440841626,0.036540755467196817
firstrate,2020-05-08,0.35937997197903043,0.070675944333996016
firstrate,2020-05-11,0.35845580870736093,0.045864811133200803
firstrate,2020-05-12,0.35973392522979336,0.091729622266401606
firstrate,2020-05-13,0.36028676403575954,0.13759443339960239
firstrate,2020-05-14,0.36018519908103425,0.083459244532803206
firstrate,2020-05-15,0.35930095972675358,0.068270377733598411
firstrate,2020-05-18,0.36299609620702222,0.10240556660039761
firstrate,2020-05-19,0.36260105522194314,0.045864811133200803
firstrate,2020-05-20,0.36313238735919512,0.070675944333996016
firstrate,2020-05-21,0.36247227605295868,0.045864811133200803
firstrate,2020-05-22,0.3615650167646659,0.038946322067594429
firstrate,2020-05-26,0.36145206282157011,0.073081510934393634
firstrate,2020-05-27,0.36134263379073345,0.10721669980119283
firstrate,2020-05-28,0.36041689415847517,0.14135188866799203
firstrate,2020-05-29,0.35957852468778895,0.17548707753479126
firstrate,2020-06-01,0.35866946660921145,0.20962226640159046
firstrate,2020-06-02,0.35810457470701451,0.24375745526838966
firstrate,2020-06-03,0.35800153203526308,0.27789264413518888
firstrate,2020-06-04,0.35710576577112974,0.21202783300198808
firstrate,2020-06-05,0.35926258792263815,0.24616302186878727
firstrate,2020-06-08,0.35898444866007218,0.28029821073558647
firstrate,2020-06-09,0.35828310918524686,0.21443339960238567
firstrate,2020-06-10,0.35749040782681479,0.14856858846918489
firstrate,2020-06-11,0.37192244808245434,0.13759443339960239
firstrate,2020-06-12,0.37143563769485699,0.11683896620278329
firstrate,2020-06-15,0.37089754248409801,0.15097415506958251
firstrate,2020-06-16,0.37144471970641962,0.1851093439363817
firstrate,2020-06-17,0.3705642272696259,0.1192445328031809
firstrate,2020-06-18,0.36963809126471114,0.091729622266401606
firstrate,2020-06-19,0.36895145573755889,0.13759443339960239
firstrate,2020-06-22,0.368385370356482,0.083459244532803206
firstrate,2020-06-23,0.36757178404035151,0.068270377733598411
firstrate,2020-06-24,0.36956969535766038,0.075188866799204807
firstrate,2020-06-25,0.36901177451462763,0.036540755467196817
firstrate,2020-06-26,0.37032115300366458,0.066918489065606407
firstrate,2020-06-29,0.37016820083573104,0.034135188866799206
firstrate,2020-06-30,0.36997661341949634,0.068270377733598411
firstrate,2020-07-01,0.36922143303957,0.10240556660039761
firstrate,2020-07-02,0.36848279142653345,0.13654075546719682
firstrate,2020-07-06,0.36853782019080611,0.17067594433399602
firstrate,2020-07-07,0.36803702251347686,0.10481113320079523
firstrate,2020-07-08,0.36732933475824481,0.13894632206759444
firstrate,2020-07-09,0.36653285660939483,0.073081510934393634
firstrate,2020-07-10,0.36615750902432037,0.10721669980119283
firstrate,2020-07-13,0.36560199915040659,0.045864811133200803
firstrate,2020-07-14,0.36536351419911489,0.075487077534791253
firstrate,2020-07-15,0.36489195652147199,0.10962226640159045
