data_source,Ticker,omega,alpha,beta,gamma_hat,sigma_unc,q_hat,lb_pvalue_warmup,qmle_converged,data_start,data_end,n_days,n_truncated_windows
yfinance,SPY,4.9815785035006273e-06,0.206127,0.73791600000000002,15.775253254775775,0.0094353122663480195,0.562624254473161,0.40047519511339419,True,2000-01-04,2025-07-07,6414,0
yfinance,PFF,1.5805261105512283e-06,0.13103100000000001,0.66555699999999995,2.5819762622282649,0.0027874850861619028,0.56660039761431413,0.64340783997043305,True,2007-04-02,2025-07-07,4595,0
yfinance,VNQ,7.2173915921076161e-06,0.102325,0.80800000000000005,4.3201129251967068,0.008971280629412463,0.55069582504970183,0.95914157605641637,True,2004-09-30,2025-07-07,5224,0
yfinance,BWX,2.6248932310863208e-07,0.033850999999999999,0.94215199999999999,5.6740425587052448,0.0033073285945503443,0.49502982107355864,0.76327639877085129,True,2007-10-12,2025-07-07,4460,0
