data_source,ETF,DeltaFactor,Pipeline,DetRate,CI_low,CI_high,ADD,SEM
firstrate,SPY,0.5,Data,0,0,0.096421830448576343,NaN,0
firstrate,SPY,0.5,Concept,0.80555555555555558,0.64971637936484794,0.90247027980546646,80.310344827586206,9.4794441139783654
firstrate,SPY,1,Data,0,0,0.096421830448576343,NaN,0
firstrate,SPY,1,Concept,1,0.90357816955142356,1,54.777777777777779,5.8444263383146415
firstrate,SPY,1.5,Data,0,0,0.096421830448576343,NaN,0
firstrate,SPY,1.5,Concept,1,0.90357816955142356,1,36.611111111111114,2.2524335262385562
firstrate,PFF,0.5,Data,0.22222222222222221,0.11716192974839595,0.38085019827859085,135.25,14.594213628303903
firstrate,PFF,0.5,Concept,0.55555555555555558,0.39580787316003407,0.70458970123456854,144.40000000000001,10.607197159426583
firstrate,PFF,1,Data,0.25,0.13750323839225387,0.41070767683203424,139.44444444444446,16.483250009151639
firstrate,PFF,1,Concept,0.97222222222222221,0.85829966264969182,0.99507971970443021,83.200000000000003,5.9395837785306878
firstrate,PFF,1.5,Data,0.30555555555555558,0.18004270282805354,0.46856578679083716,147.81818181818181,17.71995186830021
firstrate,PFF,1.5,Concept,1,0.90357816955142356,1,64.583333333333329,6.2207250891612835
firstrate,VNQ,0.5,Data,0,0,0.096421830448576343,NaN,0
firstrate,VNQ,0.5,Concept,0.69444444444444442,0.53143421320916273,0.81995729717194643,87.200000000000003,7.0741312776434482
firstrate,VNQ,1,Data,0.083333333333333329,0.028748089271291799,0.21827010276918848,230.33333333333334,7.1724782637833373
firstrate,VNQ,1,Concept,0.97222222222222221,0.85829966264969182,0.99507971970443021,56.942857142857143,5.3620112332767746
firstrate,VNQ,1.5,Data,0.16666666666666666,0.078703406285640973,0.3189111473467432,178.5,11.339459128782702
firstrate,VNQ,1.5,Concept,1,0.90357816955142356,1,38.194444444444443,1.9979431663447194
firstrate,BWX,0.5,Data,0.055555555555555552,0.015369663767066846,0.18144974107611211,229.5,10.499999999999998
firstrate,BWX,0.5,Concept,0.61111111111111116,0.44864170296743472,0.75215344582177046,138.59090909090909,10.900109036928139
firstrate,BWX,1,Data,0.083333333333333329,0.028748089271291799,0.21827010276918848,216,10.598742063723098
firstrate,BWX,1,Concept,1,0.90357816955142356,1,83.555555555555557,9.2554955313513165
firstrate,BWX,1.5,Data,0.19444444444444445,0.097529720194533487,0.350283620635152,216.85714285714286,9.435062700547638
firstrate,BWX,1.5,Concept,1,0.90357816955142356,1,46.222222222222221,3.2952854998578185
