data_source,ETF,Pipeline,AlarmRate,CI_low,CI_high,N_alarms,MedianDelay
firstrate,SPY,Data,0,0,0.096421830448576343,0,NaN
firstrate,SPY,Concept,0.027777777777777776,0.0049202802955696789,0.14170033735030799,1,248
firstrate,PFF,Data,0.22222222222222221,0.11716192974839595,0.38085019827859085,8,134.5
firstrate,PFF,Concept,0,0,0.096421830448576343,0,NaN
firstrate,VNQ,Data,0,0,0.096421830448576343,0,NaN
firstrate,VNQ,Concept,0.1388888888888889,0.060817253631150966,0.28659851280393189,5,153
firstrate,BWX,Data,0.055555555555555552,0.015369663767066846,0.18144974107611211,2,236
firstrate,BWX,Concept,0,0,0.096421830448576343,0,NaN
