data_source,Ticker,omega,alpha,beta,gamma_hat,sigma_unc,q_hat,lb_pvalue_warmup,qmle_converged,data_start,data_end,n_days,n_truncated_windows
firstrate,SPY,5.1751719325973652e-06,0.21155099999999999,0.72908099999999998,14.998367977816738,0.0093365447277781975,0.55864811133200798,0.21585172235032324,True,2000-01-04,2025-07-07,6414,0
firstrate,PFF,1.6417376275186445e-06,0.138464,0.64710299999999998,2.5792478973885471,0.002766980287984127,0.57057654075546715,0.57462136761111904,True,2007-12-27,2025-07-07,4403,0
firstrate,VNQ,7.1647511491862517e-06,0.097257999999999997,0.815083,4.2123171522891072,0.0090407050217917798,0.55467196819085485,0.9551997430969057,True,2005-01-04,2025-07-07,5014,0
firstrate,BWX,2.4952426432370273e-07,0.032856999999999997,0.94432199999999999,5.8133868280348491,0.0033066563041198194,0.49304174950298213,0.76875421405739486,True,2007-10-09,2025-07-07,4451,0
