data_source,Date,S_over_thr_Data,S_over_thr_Concept
yfinance,2020-01-02,0,0.033737574552683905
yfinance,2020-01-03,0,0.046262425447316104
yfinance,2020-01-06,0,0.033737574552683905
yfinance,2020-01-07,0,0.046262425447316104
yfinance,2020-01-08,0,0.033737574552683905
yfinance,2020-01-09,0,0.06747514910536781
yfinance,2020-01-10,0,0.046262425447316104
yfinance,2020-01-13,0,0.034950298210735607
yfinance,2020-01-14,0,0.046262425447316104
yfinance,2020-01-15,0,0.033737574552683905
yfinance,2020-01-16,0,0.06747514910536781
yfinance,2020-01-17,0,0.1012127236580517
yfinance,2020-01-21,0,0.046262425447316104
yfinance,2020-01-22,0,0.068687872763419505
yfinance,2020-01-23,0,0.1024254473161034
yfinance,2020-01-24,0,0.046262425447316104
yfinance,2020-01-27,0.00030494994889750056,0.092524850894632193
yfinance,2020-01-28,0,0.038787276341948299
yfinance,2020-01-29,0,0.085049701789264395
yfinance,2020-01-30,0,0.033737574552683905
yfinance,2020-01-31,0.00064919579697286995,0.077574552683896597
yfinance,2020-02-03,2.7458354992704569e-06,0.033737574552683905
yfinance,2020-02-04,0.00015866584989948331,0.06747514910536781
yfinance,2020-02-05,0,0.1012127236580517
yfinance,2020-02-06,0,0.13495029821073559
yfinance,2020-02-07,0,0.068687872763419491
yfinance,2020-02-10,0,0.1024254473161034
yfinance,2020-02-11,0,0.13616302186878729
yfinance,2020-02-12,0,0.16990059642147118
yfinance,2020-02-13,0,0.10363817097415506
yfinance,2020-02-14,0,0.13737574552683895
yfinance,2020-02-18,0,0.071113320079522854
yfinance,2020-02-19,0,0.10485089463220673
yfinance,2020-02-20,0,0.046262425447316104
yfinance,2020-02-21,0,0.092524850894632193
yfinance,2020-02-24,0.0043459708607472723,0.13878727634194829
yfinance,2020-02-25,0.007812521821288148,0.18504970178926439
yfinance,2020-02-26,0.0069761246486335837,0.23131212723658048
yfinance,2020-02-27,0.015812675470280771,0.27757455268389652
yfinance,2020-02-28,0.01499540858865806,0.32383697813121259
yfinance,2020-03-02,0.022383360967140092,0.27009940357852869
yfinance,2020-03-03,0.025375477750660066,0.31636182902584475
yfinance,2020-03-04,0.032292836045821574,0.26262425447316085
yfinance,2020-03-05,0.036663291709281239,0.30888667992047691
yfinance,2020-03-06,0.037045475662629335,0.35514910536779298
yfinance,2020-03-09,0.066630938083719921,0.40141153081510905
yfinance,2020-03-10,0.077467214005930318,0.3476739562624252
yfinance,2020-03-11,0.08808406168617916,0.39393638170974127
yfinance,2020-03-12,0.13381778348025483,0.44019880715705739
yfinance,2020-03-13,0.16394212096151894,0.38646123260437348
yfinance,2020-03-16,0.22496294670837474,0.43272365805168961
yfinance,2020-03-17,0.23681319466304018,0.3789860834990057
yfinance,2020-03-18,0.24836210575377601,0.42524850894632182
yfinance,2020-03-19,0.24748387026319735,0.37151093439363791
yfinance,2020-03-20,0.25553154999203032,0.41777335984095404
yfinance,2020-03-23,0.25772560090338192,0.46403578528827022
yfinance,2020-03-24,0.29150931494426346,0.41029821073558637
yfinance,2020-03-25,0.29162833593332521,0.35656063618290246
yfinance,2020-03-26,0.30557753232172463,0.30282306163021855
yfinance,2020-03-27,0.30889430914420207,0.34908548707753462
yfinance,2020-03-30,0.31270476073951248,0.29534791252485071
yfinance,2020-03-31,0.31284560653906412,0.34161033797216678
yfinance,2020-04-01,0.32172360799388811,0.38787276341948285
yfinance,2020-04-02,0.32322419274169428,0.33413518886679888
yfinance,2020-04-03,0.32330258083037461,0.38039761431411495
yfinance,2020-04-06,0.34188769998685209,0.32666003976143104
yfinance,2020-04-07,0.34099348100510168,0.27292246520874708
yfinance,2020-04-08,0.34512072776246938,0.21918489065606317
yfinance,2020-04-09,0.34527342252870946,0.16544731610337926
yfinance,2020-04-13,0.34476231112503319,0.21170974155069536
yfinance,2020-04-14,0.34775861614056375,0.15797216699801145
yfinance,2020-04-15,0.34898627117445002,0.20423459244532755
yfinance,2020-04-16,0.34819404199445764,0.15049701789264364
yfinance,2020-04-17,0.35057131751435827,0.10363817097415509
yfinance,2020-04-20,0.35112903725976335,0.14302186878727582
yfinance,2020-04-21,0.35461346841126129,0.18928429423459192
yfinance,2020-04-22,0.35593624586703043,0.13554671968190801
yfinance,2020-04-23,0.3550372621463827,0.18180914512922411
yfinance,2020-04-24,0.3550216895249958,0.1280715705765402
yfinance,2020-04-27,0.35506758855202786,0.074333996023856291
yfinance,2020-04-28,0.35426652262169617,0.12059642147117237
yfinance,2020-04-29,0.35644642007769678,0.066858846918488479
yfinance,2020-04-30,0.35595085574596896,0.11312127236580456
yfinance,2020-05-01,0.3583708888190475,0.15938369781312064
yfinance,2020-05-04,0.35750686364489886,0.10564612326043674
yfinance,2020-05-05,0.35699783244916411,0.06747514910536781
yfinance,2020-05-06,0.35631213591000827,0.098170974155068938
yfinance,2020-05-07,0.35607648470842335,0.044433399602385036
yfinance,2020-05-08,0.35641917948313445,0.068687872763419505
yfinance,2020-05-11,0.35552036652913482,0.1024254473161034
yfinance,2020-05-12,0.35649024543402558,0.046262425447316104
yfinance,2020-05-13,0.35705932240765736,0.092524850894632193
yfinance,2020-05-14,0.3568128094738186,0.038787276341948299
yfinance,2020-05-15,0.35601079464681767,0.06747514910536781
yfinance,2020-05-18,0.35926274255830948,0.1012127236580517
yfinance,2020-05-19,0.35885516883976631,0.046262425447316104
yfinance,2020-05-20,0.35926450388220332,0.068687872763419505
yfinance,2020-05-21,0.35858678565787711,0.046262425447316104
yfinance,2020-05-22,0.3577043716729566,0.036163021868787303
yfinance,2020-05-26,0.35749673604405136,0.069900596421471201
yfinance,2020-05-27,0.35760345720865527,0.10363817097415509
yfinance,2020-05-28,0.35672017156368857,0.046262425447316104
yfinance,2020-05-29,0.35591230808652285,0.071113320079522896
yfinance,2020-06-01,0.35508830400685792,0.10485089463220679
yfinance,2020-06-02,0.35450281080526436,0.13858846918489068
yfinance,2020-06-03,0.35440966532598539,0.17232604373757457
yfinance,2020-06-04,0.35354254975294946,0.10606361829025845
yfinance,2020-06-05,0.35559633696027421,0.13980119284294235
yfinance,2020-06-08,0.3553629355450138,0.17353876739562624
yfinance,2020-06-09,0.35472221111263785,0.10727634194831012
yfinance,2020-06-10,0.35396756061883367,0.092524850894632193
yfinance,2020-06-11,0.36932442295144968,0.13878727634194829
yfinance,2020-06-12,0.36907881102879048,0.085049701789264395
yfinance,2020-06-15,0.36857793662197241,0.06747514910536781
yfinance,2020-06-16,0.36935473967088739,0.1012127236580517
yfinance,2020-06-17,0.36853560969820526,0.046262425447316104
yfinance,2020-06-18,0.36763728443184379,0.068687872763419505
yfinance,2020-06-19,0.36688972929486396,0.046262425447316104
yfinance,2020-06-22,0.36617925644188409,0.036163021868787303
yfinance,2020-06-23,0.36537752718821898,0.069900596421471201
yfinance,2020-06-24,0.36755690003839936,0.046262425447316104
yfinance,2020-06-25,0.36718214339047145,0.037375745526839012
yfinance,2020-06-26,0.36894734698580539,0.046262425447316104
yfinance,2020-06-29,0.36902989395811087,0.033737574552683905
yfinance,2020-06-30,0.36887782092996685,0.06747514910536781
yfinance,2020-07-01,0.3682034705111063,0.1012127236580517
