gamma_lev,n_warmup,stream,omega_hat,alpha_hat,beta_hat,persistence_hat,converged,equals_initialiser,at_lower_bound,at_upper_bound,alarm_eco,alarm_ml
0,250,0,0.29368862762690889,0.044496660925064567,0.70114195960656478,0.74563862053162933,True,False,False,False,False,False
0,250,1,0.19843207160126919,0.15150568934174347,0.61523905219143582,0.76674474153317929,True,False,False,False,False,False
0,250,2,0.36723322879209347,0.073533756992521279,0.46616547001836006,0.53969922701088135,True,False,False,False,False,False
0,250,3,0.75064237313112903,0.13146814397279988,0.2187336868685536,0.35020183084135348,True,False,False,False,False,False
0,250,4,0.98345566596563616,1.0000912482183155e-06,1.0000174107682724e-06,2.000108658986588e-06,True,False,False,False,False,False
0,250,5,0.28958139862900351,0.077668393826547444,0.67058033108893933,0.74824872491548677,True,False,False,False,False,False
0,250,6,0.091981696731518695,0.022770006005430915,0.86375593096229819,0.88652593696772908,True,False,False,False,False,True
0,250,7,0.1097783690605397,0.03226855096956821,0.87542739707044459,0.90769594804001286,True,False,False,False,False,True
0,250,8,0.061781052243713441,0.082013975688282087,0.86846498221196256,0.95047895790024461,True,False,False,False,False,False
0,250,9,0.93068135328703872,1.0000105163526785e-06,1.0000020346234706e-06,2.0000125509761491e-06,True,False,False,False,True,False
0,250,10,0.059868554810197552,0.044135980286207431,0.89898201874474615,0.94311799903095361,True,False,False,False,False,False
0,250,11,0.68276300667011902,1.0000004030015497e-06,0.48691820752963161,0.48691920753003459,True,False,True,False,False,False
0,250,12,0.19816861709877112,0.015016760263766164,0.81856099956443207,0.83357775982819826,True,False,False,False,False,False
0,250,13,0.44155804887720418,1.0000000000010001e-06,0.46891256356527866,0.46891356356527869,True,False,True,False,True,False
0,250,14,0.8090495663166275,0.1667085811393948,0.066477931582609659,0.23318651272200447,True,False,False,False,False,False
0,250,15,0.075043477104683079,0.063066881853206649,0.85958466279087298,0.92265154464407961,True,False,False,False,False,False
0,250,16,0.34847911609215776,0.13563991792950844,0.56167958993892186,0.69731950786843033,True,False,False,False,False,True
0,250,17,1.0274723371839523,1.0001038958790121e-06,1.0000291098544167e-06,2.0001330057334288e-06,True,False,False,False,False,False
0,250,18,0.062740486672209841,0.015958233736011334,0.91628558381762981,0.93224381755364116,True,False,False,False,False,True
0,250,19,0.45175983447104789,0.18026988545663586,0.45367991360160143,0.63394979905823723,True,False,False,False,False,False
0,250,20,0.056410546113513149,0.06036583325302812,0.87970365879598122,0.94006949204900936,True,False,False,False,False,False
0,250,21,0.2017447294174286,0.053391904553057701,0.74864531952124169,0.80203722407429945,True,False,False,False,False,False
0,250,22,0.12979418234339754,0.0080640141141691789,0.8348924696784491,0.84295648379261823,True,False,False,False,False,False
0,250,23,1.0247596370299143,1.0002881538212494e-06,1.000096135350681e-06,2.0003842891719303e-06,True,False,False,False,False,False
0,250,24,0.71210404417025397,1.0000000000010001e-06,1.0000000000287557e-06,2.0000000000297558e-06,True,False,True,False,True,True
0,250,25,0.076009629064855186,0.03877229234240781,0.8600596425874063,0.89883193492981417,True,False,False,False,False,False
0,250,26,0.10141561337830794,0.088785193110336877,0.814131133461375,0.90291632657171184,True,False,False,False,False,False
0,250,27,0.24463735935616573,0.15237924398183059,0.60447061670725055,0.75684986068908111,True,False,False,False,False,False
0,250,28,1.2814455543192649,0.18837447741300475,9.9999999999999995e-07,0.18837547741300475,True,False,True,False,False,False
0,250,29,0.83269522102352267,1.0001398493414415e-06,1.0000346236660462e-06,2.0001744730074877e-06,True,False,False,False,False,False
0,250,30,0.89232965219227256,1.0000000000010001e-06,1.0000000000287557e-06,2.0000000000297558e-06,True,False,True,False,True,False
0,250,31,0.11588858980753203,0.041501912361835723,0.81821022226292639,0.85971213462476215,True,False,False,False,True,False
0,250,32,0.9217807633502495,0.11143908749036749,1.0000000000517259e-06,0.11144008749036755,True,False,True,False,False,False
0,250,33,0.6898299615714627,0.0029274239368483916,0.40882844911500876,0.41175587305185718,True,False,False,False,False,False
0,250,34,0.030472011733821507,0.018566925932250025,0.95412114410676985,0.97268807003901991,True,False,False,False,False,False
0,250,35,0.70137594785751922,0.046446092474702397,0.31150575638517997,0.35795184885988235,True,False,False,False,False,False
0,250,36,0.36466420995428295,1.0000000000010001e-06,0.51203728314624053,0.51203828314624056,True,False,True,False,False,False
0,250,37,0.039418424254799432,0.076942591177713848,0.86562527906028119,0.94256787023799504,True,False,False,False,False,False
0,250,38,0.79035626244464763,0.11025418170920818,9.9999999999999995e-07,0.11025518170920819,True,False,True,False,False,False
0,250,39,0.12973771614236651,0.11874838030174772,0.72750004253719835,0.84624842283894608,True,False,False,False,False,False
0,250,40,0.4396521464250544,0.069226687386324787,0.54786222053319056,0.61708890791951532,True,False,False,False,False,False
0,250,41,0.13889021345471447,0.012545270216599425,0.87351374268059534,0.8860590128971948,True,False,False,False,False,False
0,250,42,0.09204010967784601,0.076278275717218666,0.82235904463459775,0.89863732035181643,True,False,False,False,False,False
0,250,43,0.10512581730028668,0.12955226417983623,0.79074424803913856,0.92029651221897479,True,False,False,False,False,False
0,250,44,1.0148195106939206,1.0000000000010001e-06,1.0000000000287557e-06,2.0000000000297558e-06,True,False,True,False,False,False
0,250,45,0.34448670592461167,0.11199912808145454,0.56213578202136538,0.6741349101028199,True,False,False,False,False,True
0,250,46,0.32372678276410327,0.10304690373222584,0.50173528141291512,0.60478218514514093,True,False,False,False,False,False
0,250,47,0.853911033606922,1.0000000000010001e-06,1.0000000000287557e-06,2.0000000000297558e-06,True,False,True,False,True,True
0,250,48,0.091830690913771801,0.085114847979399083,0.80824208614865733,0.89335693412805639,True,False,False,False,False,False
0,250,49,0.15743101596030856,0.021850155254498186,0.81118184367023238,0.83303199892473057,True,False,False,False,False,False
0,250,50,0.33628590138128828,0.14733523283149177,0.44810027156581411,0.59543550439730586,True,False,False,False,False,False
0,250,51,0.66528208540776956,0.05562115257787191,0.0056439928112662447,0.061265145389138152,True,False,False,False,False,False
0,250,52,0.61062245374138679,0.23155545118952184,0.13446663255313634,0.36602208374265821,True,False,False,False,False,False
0,250,53,0.92757166414740855,1.0002629153432752e-06,1.0000596951664775e-06,2.0003226105097527e-06,True,False,False,False,False,False
0,250,54,0.65571275797410211,0.067397521504970692,0.18448603572880126,0.25188355723377198,True,False,False,False,False,False
0,250,55,0.056979886890780901,0.049317974071623451,0.89179237012905022,0.94111034420067363,True,False,False,False,False,False
0,250,56,0.34487012861701116,0.06958043085506993,0.57120993284461274,0.64079036369968267,True,False,False,False,False,False
0,250,57,0.085521610786975899,0.053689069857040049,0.86152583060298404,0.91521490046002407,True,False,False,False,False,False
0,250,58,0.16744276074228989,0.13598415290331134,0.61950313533466483,0.75548728823797617,True,False,False,False,False,False
0,250,59,0.84208832405955758,0.19402491465359292,9.9999999999999995e-07,0.19402591465359292,True,False,True,False,False,False
0,250,60,0.51451112644557762,1.0000003183296968e-06,0.4738075689508876,0.47380856895120593,True,False,True,False,False,False
0,250,61,0.48472702346304503,1.0000000000010001e-06,0.4890702065103818,0.48907120651038183,True,False,True,False,False,False
0,250,62,0.96763344709616839,1.0009258232940299e-06,1.0001912841284266e-06,2.0011171074224565e-06,True,False,False,False,False,False
0,250,63,0.10811593132252882,0.035971829307457522,0.85666160466415209,0.89263343397160966,True,False,False,False,False,False
0,250,64,0.87353733052544913,0.014067659040200025,1.0000000007197698e-06,0.014068659040200744,True,False,True,False,False,False
0,250,65,0.44492160036997525,0.04519490158701138,0.34103220643296728,0.38622710801997867,True,False,False,False,False,False
0,250,66,0.46829807553415165,1.0000000327248237e-06,0.46628027479730949,0.46628127479734222,True,False,True,False,False,False
0,250,67,0.059753124773341763,0.020059130340191505,0.91315933055491283,0.9332184608951043,True,False,False,False,False,False
0,250,68,0.58652660312586735,0.19695256069022563,0.30878962812743804,0.50574218881766364,True,False,False,False,False,True
0,250,69,0.81249349616088107,1.0000000000010001e-06,1.0000000000287557e-06,2.0000000000297558e-06,True,False,True,False,False,False
0,250,70,1.1634912145141583,0.074612118235506078,1.0000000295807643e-06,0.074613118235535653,True,False,True,False,False,False
0,250,71,0.037960548984973704,0.03198607095358301,0.93240117922571764,0.9643872501793006,True,False,False,False,False,False
0,250,72,0.66966175114340876,1.0001348186988723e-06,1.0000277989030693e-06,2.0001626176019416e-06,True,False,False,False,True,False
0,250,73,0.086768092304796748,0.064928017010431049,0.86164096401727952,0.92656898102771057,True,False,False,False,False,False
0,250,74,0.015667728869450587,0.011778692180964442,0.97341459113786544,0.98519328331882983,True,False,False,False,False,False
0,250,75,0.11865108189671536,0.03086331504597457,0.8096462829000034,0.84050959794597802,True,False,False,False,False,False
0,250,76,0.010220679704475603,0.016424387817610946,0.97108926112959382,0.98751364894720473,True,False,False,False,False,False
0,250,77,0.091222074594936545,0.0066864350436570651,0.92393844754226062,0.93062488258591769,True,False,False,False,False,False
0,250,78,0.096069346976582676,0.030303233054449159,0.86786956523722092,0.89817279829167007,True,False,False,False,False,False
0,250,79,0.26013189123426272,0.13737542375141282,0.62071761731387354,0.75809304106528641,True,False,False,False,False,True
0,250,80,0.052731226395541966,0.014926217855216358,0.93034282032049997,0.94526903817571628,True,False,False,False,False,False
0,250,81,0.41009065149291457,0.024294589745791219,0.44492313077493006,0.4692177205207213,True,False,False,False,False,False
0,250,82,0.098329450104541943,0.1395519426994406,0.74617490609373571,0.88572684879317631,True,False,False,False,False,False
0,250,83,0.50914394975386623,0.083524904399934929,0.3109311551602475,0.39445605956018243,True,False,False,False,False,False
0,250,84,0.85464317659816003,1.0000000000010001e-06,1.0000000000287557e-06,2.0000000000297558e-06,True,False,True,False,True,False
0,250,85,0.15710639138783886,0.087605619989415198,0.78434446613744047,0.87195008612685565,True,False,False,False,False,False
0,250,86,0.054196701347949044,0.025947539336660441,0.92007612428279539,0.94602366361945589,True,False,False,False,False,False
0,250,87,0.89468141219510744,0.03330968175283703,9.9999999999999995e-07,0.033310681752837031,True,False,True,False,False,False
0,250,88,0.2983922243874163,0.10017600362061187,0.60298431210280201,0.70316031572341386,True,False,False,False,False,False
0,250,89,0.55639798542988028,1.0000011838665057e-06,0.46918120146447523,0.46918220146565909,True,False,False,False,False,False
0,250,90,0.1383803677177099,0.094379976611146055,0.79904856602172647,0.89342854263287252,True,False,False,False,False,True
0,250,91,0.59254496164262105,0.13807308735114696,0.15845335234001659,0.29652643969116355,True,False,False,False,False,False
0,250,92,0.31653539720136109,0.17733002526878769,0.56389819122798346,0.74122821649677118,True,False,False,False,False,False
0,250,93,0.29512055580030022,0.06334418164693198,0.52928280004632777,0.59262698169325978,True,False,False,False,False,False
0,250,94,0.17079800672163964,0.10292535669341482,0.78503229964909005,0.8879576563425049,True,False,False,False,False,False
0,250,95,0.83061060019841926,0.23139734249363031,0.091416850270182912,0.32281419276381323,True,False,False,False,False,False
0,250,96,0.13343020943477105,0.035237946426009165,0.79196510379836282,0.82720305022437202,True,False,False,False,False,False
0,250,97,0.10212612188442918,0.083249709304955136,0.79871462509582003,0.88196433440077515,True,False,False,False,False,False
0,250,98,0.80237633599724301,0.22758276408637418,0.031294063671545268,0.25887682775791943,True,False,False,False,False,False
0,250,99,0.84119439094843607,0.059384742491985831,9.9999999999999995e-07,0.059385742491985832,True,False,True,False,True,False
0,250,100,0.062779934220109135,0.028629510309656905,0.90960755578139707,0.93823706609105395,True,False,False,False,False,False
0,250,101,0.078877920371847932,0.054611813936271257,0.88726452709494852,0.94187634103121975,True,False,False,False,False,True
0,250,102,0.61227531309576577,0.087127783840053319,0.21361336219570548,0.3007411460357588,True,False,False,False,True,False
0,250,103,0.040792999805750789,0.03038149281636698,0.92618014785016223,0.95656164066652916,True,False,False,False,False,False
0,250,104,0.1045459537623272,0.078373105580426705,0.80078712752311265,0.8791602331035393,True,False,False,False,False,False
0,250,105,0.73983858840189221,0.015764558438367285,9.9999999999999995e-07,0.015765558438367286,True,False,True,False,False,False
0,250,106,0.4726345754055063,0.15889096070838091,0.19812231041978975,0.35701327112817066,True,False,False,False,True,False
