n_warmup,gamma_lev,FPR_Eco,FPR_ML,share_nonconverged,alpha_hat_10,alpha_hat_50,alpha_hat_90,beta_hat_10,beta_hat_50,beta_hat_90,n_streams,n_converged,share_equals_initialiser,share_at_lower_bound,share_at_upper_bound,alpha_hat_10_converged,alpha_hat_50_converged,alpha_hat_90_converged,beta_hat_10_converged,beta_hat_50_converged,beta_hat_90_converged,persistence_median_pooled,persistence_median_converged,persistence_sum_of_medians_pooled,persistence_sum_of_medians_converged,FPR_Eco_CI_low,FPR_Eco_CI_high,FPR_ML_CI_low,FPR_ML_CI_high
250,0,0.105,0.10000000000000001,0,1.0000095831040613e-06,0.059069659090588256,0.16735028102398322,1.0000000000287557e-06,0.52395131252407023,0.90973816123180551,200,200,0,0.22,0,1.0000095831040613e-06,0.059069659090588256,0.16735028102398322,1.0000000000287557e-06,0.52395131252407023,0.90973816123180551,0.62589312443181988,0.62589312443181988,0.58302097161465849,0.58302097161465849,0.069706962461937305,0.15518138221353622,0.065669941171571225,0.14940686356308552
500,0,0.070000000000000007,0.095000000000000001,0,0.0076143442293429313,0.052806311359743764,0.11856915875447341,1.0000000004549195e-06,0.70146537101313933,0.90014594914733004,200,200,0,0.14999999999999999,0,0.0076143442293429313,0.052806311359743764,0.11856915875447341,1.0000000004549195e-06,0.70146537101313933,0.90014594914733004,0.77482035678150973,0.77482035678150973,0.75427168237288311,0.75427168237288311,0.042151782922918733,0.11405578216683726,0.061662613649863592,0.14360265114397636
1000,0,0.035000000000000003,0.11,0,0.01824128921186156,0.049992315770946837,0.097592239609167408,0.35820484339986636,0.76963747768620194,0.89846405418179642,200,200,0,0.050000000000000003,0.0050000000000000001,0.01824128921186156,0.049992315770946837,0.097592239609167408,0.35820484339986636,0.76963747768620194,0.89846405418179642,0.84055380268774549,0.84055380268774549,0.81962979345714881,0.81962979345714881,0.017055324637357105,0.070471460866681337,0.073771901607160476,0.16092798300912986
2000,0,0.02,0.10000000000000001,0,0.024982976905592758,0.050248816174676754,0.091627745019212906,0.55608306261423757,0.79070546453463575,0.89310035605080651,200,200,0,0.0050000000000000001,0,0.024982976905592758,0.050248816174676754,0.091627745019212906,0.55608306261423757,0.79070546453463575,0.89310035605080651,0.83922686849377348,0.83922686849377348,0.84095428070931255,0.84095428070931255,0.0078043001763941876,0.050287865505193874,0.065669941171571225,0.14940686356308552
250,0.28000000000000003,0.10000000000000001,0.10000000000000001,0.014999999999999999,0.11536881377440771,0.19488520444964019,0.28880887787595161,0.63379814542829194,0.75837941733593506,0.8516558355420506,200,197,0.014999999999999999,0.0050000000000000001,0,0.11875558886387209,0.1956114206628061,0.29089240072861866,0.63063328737593127,0.75744571155684093,0.84014828631915917,0.96083967467834086,0.96102599250627763,0.95326462178557525,0.95305713221964705,0.065669941171571225,0.14940686356308552,0.065669941171571225,0.14940686356308552
500,0.28000000000000003,0.074999999999999997,0.095000000000000001,0.0050000000000000001,0.12698072656912429,0.20213583278614045,0.26980989102114611,0.68024414508023434,0.75999606966284339,0.83372563864089333,200,199,0.0050000000000000001,0.0050000000000000001,0,0.1286465017431859,0.20242992072773308,0.26984620055075342,0.6796338584566467,0.75949561789630116,0.83055720836362323,0.96709959837558657,0.96758336288062052,0.96213190244898383,0.96192553862403418,0.045974507057252416,0.12004459797332034,0.061662613649863592,0.14360265114397636
1000,0.28000000000000003,0.040000000000000001,0.11,0.0050000000000000001,0.14622668295322799,0.20327983129823141,0.25176457154852111,0.70823866572667304,0.76776033393663101,0.81451565997683562,200,199,0.0050000000000000001,0,0,0.14847962238547988,0.20378847001962652,0.25191194716540988,0.70816537398427837,0.7675581708359257,0.81325789483886846,0.97172233645323558,0.97176974194680654,0.97104016523486236,0.97134664085555222,0.020405387150656411,0.076932938294198824,0.073771901607160476,0.16092798300912986
2000,0.28000000000000003,0.02,0.10000000000000001,0,0.16852859235638101,0.2049758543737118,0.24212841767373908,0.72691284243205767,0.76870369917039849,0.80036169705610949,200,200,0,0,0,0.16852859235638101,0.2049758543737118,0.24212841767373908,0.72691284243205767,0.76870369917039849,0.80036169705610949,0.97578878335249142,0.97578878335249142,0.97367955354411029,0.97367955354411029,0.0078043001763941876,0.050287865505193874,0.065669941171571225,0.14940686356308552
