gamma_lev,n_warmup,stream,omega_hat,alpha_hat,beta_hat,persistence_hat,converged,equals_initialiser,at_lower_bound,at_upper_bound,alarm_eco,alarm_ml
0,250,0,0.29355540914148903,0.044486999999999999,0.70126699999999997,0.74575400000000003,True,False,False,False,False,False
0,250,1,0.19843015030589162,0.15151000000000001,0.61523700000000003,0.76674700000000007,True,False,False,False,False,False
0,250,2,0.36721027337182022,0.073536000000000004,0.466192,0.53972799999999999,True,False,False,False,False,False
0,250,3,0.75064333291334273,0.131463,0.21873799999999999,0.35020099999999998,True,False,False,False,False,False
0,250,4,0.98345566607249768,9.9999999999999995e-07,9.9999999999999995e-07,1.9999999999999999e-06,True,False,True,False,False,False
0,250,5,0.28955807685107521,0.077660000000000007,0.67060900000000001,0.74826900000000007,True,False,False,False,False,False
0,250,6,0.092002721150985525,0.022769999999999999,0.86373,0.88649999999999995,True,False,False,False,False,True
0,250,7,0.10967840500817344,0.032252999999999997,0.87552700000000006,0.90778000000000003,True,False,False,False,False,True
0,250,8,0.061783494864711921,0.082005999999999996,0.86847099999999999,0.95047700000000002,True,False,False,False,False,False
0,250,9,0.93068135329871959,9.9999999999999995e-07,9.9999999999999995e-07,1.9999999999999999e-06,True,False,True,False,True,False
0,250,10,0.059889603877747923,0.044137000000000003,0.89896100000000001,0.94309799999999999,True,False,False,False,False,False
0,250,11,0.68275929069552466,9.9999999999999995e-07,0.48692099999999999,0.48692199999999997,True,False,True,False,False,False
0,250,12,0.19804449227824972,0.015013,0.81866899999999998,0.83368200000000003,True,False,False,False,False,False
0,250,13,0.4415535288944975,9.9999999999999995e-07,0.468918,0.46891899999999997,True,False,True,False,True,False
0,250,14,0.80911130191876168,0.16676099999999999,0.066366999999999995,0.233128,True,False,False,False,False,False
0,250,15,0.075005197515452149,0.063041,0.85965000000000003,0.92269100000000004,True,False,False,False,False,False
0,250,16,0.34845206936315687,0.13559399999999999,0.56174900000000005,0.69734300000000005,True,False,False,False,False,True
0,250,17,1.0274723373206121,9.9999999999999995e-07,9.9999999999999995e-07,1.9999999999999999e-06,True,False,True,False,False,False
0,250,18,0.06268938914257767,0.015952000000000001,0.91634700000000002,0.93229899999999999,True,False,False,False,False,True
0,250,19,0.45176205477375336,0.18026400000000001,0.45368399999999998,0.63394799999999996,True,False,False,False,False,False
0,250,20,0.056414774326262455,0.060359999999999997,0.87970499999999996,0.94006499999999993,True,False,False,False,False,False
0,250,21,0.20159616853496723,0.053380999999999998,0.74880199999999997,0.80218299999999998,True,False,False,False,False,False
0,250,22,0.12979210273458838,0.0080669999999999995,0.83489199999999997,0.84295900000000001,True,False,False,False,False,False
0,250,23,1.0247596374237191,9.9999999999999995e-07,9.9999999999999995e-07,1.9999999999999999e-06,True,False,True,False,False,False
0,250,24,0.71210404417025397,9.9999999999999995e-07,9.9999999999999995e-07,1.9999999999999999e-06,True,False,True,False,True,True
0,250,25,0.075951728507059377,0.038745000000000002,0.86016400000000004,0.89890900000000007,True,False,False,False,False,False
0,250,26,0.1014169991425574,0.088777999999999996,0.814137,0.90291500000000002,True,False,False,False,False,False
0,250,27,0.24462413967907218,0.152369,0.60449399999999998,0.75686299999999995,True,False,False,False,False,False
0,250,28,1.2814747276600049,0.188356,9.9999999999999995e-07,0.188357,True,False,True,False,False,False
0,250,29,0.83269522116880579,9.9999999999999995e-07,9.9999999999999995e-07,1.9999999999999999e-06,True,False,True,False,False,False
0,250,30,0.89232965219227256,9.9999999999999995e-07,9.9999999999999995e-07,1.9999999999999999e-06,True,False,True,False,True,False
0,250,31,0.11591430940735784,0.041522999999999997,0.81815800000000005,0.85968100000000003,True,False,False,False,True,False
0,250,32,0.92177670456246841,0.111443,9.9999999999999995e-07,0.111444,True,False,True,False,False,False
0,250,33,0.68971137067432431,0.0029220000000000001,0.40893499999999999,0.41185699999999997,True,False,False,False,False,False
0,250,34,0.030463164249796053,0.018561000000000001,0.95413499999999996,0.97269600000000001,True,False,False,False,False,False
0,250,35,0.70129931447370553,0.046445,0.31157699999999999,0.35802200000000001,True,False,False,False,False,False
0,250,36,0.36465919030605032,9.9999999999999995e-07,0.51204400000000005,0.51204500000000008,True,False,True,False,False,False
0,250,37,0.03941902154085928,0.076941999999999997,0.86562499999999998,0.94256699999999993,True,False,False,False,False,False
0,250,38,0.79037330146941676,0.110235,9.9999999999999995e-07,0.110236,True,False,True,False,False,False
0,250,39,0.12977266930915818,0.11874700000000001,0.72746,0.84620700000000004,True,False,False,False,False,False
0,250,40,0.43964744796631111,0.069220000000000004,0.54787300000000005,0.61709300000000011,True,False,False,False,False,False
0,250,41,0.1388207481018679,0.012538000000000001,0.87357799999999997,0.88611600000000001,True,False,False,False,False,False
0,250,42,0.09210214644222757,0.076300999999999994,0.822268,0.89856899999999995,True,False,False,False,False,False
0,250,43,0.10513704458784558,0.129525,0.79076299999999999,0.92028799999999999,True,False,False,False,False,False
0,250,44,1.0148195106939206,9.9999999999999995e-07,9.9999999999999995e-07,1.9999999999999999e-06,True,False,True,False,False,False
