arm,alpha,ARL0_mean,ARL0_CI_low,ARL0_CI_high,ref_inv_alpha,censored_frac,right_censored_flag,arl0_bound_respected
CUSUM,0.10000000000000001,16314.1975,16229.972496078388,16398.422503921614,10,0.65354999999999996,True,True
CUSUM,0.070000000000000007,17374.615399999999,17300.230833130052,17448.999966869946,14.285714285714285,0.74850000000000005,True,True
CUSUM,0.050000000000000003,18137.835599999999,18073.165476659135,18202.505723340862,20,0.81989999999999996,True,True
CUSUM,0.035000000000000003,18656.790799999999,18600.677136906786,18712.904463093211,28.571428571428569,0.86975000000000002,True,True
CUSUM,0.025000000000000001,19040.901300000001,18992.657407917581,19089.145192082422,40,0.90739999999999998,True,True
CUSUM,0.014999999999999999,19395.638849999999,19356.855229018984,19434.422470981015,66.666666666666671,0.94105000000000005,True,True
CUSUM,0.01,19578.74035,19546.409516242584,19611.071183757416,100,0.95789999999999997,True,True
MIX,0.10000000000000001,18368.394749999999,18298.414656311932,18438.374843688067,10,0.90459999999999996,True,True
MIX,0.070000000000000007,18829.302599999999,18769.253760761243,18889.351439238755,14.285714285714285,0.93135000000000001,True,True
MIX,0.050000000000000003,19159.553599999999,19108.235805298144,19210.871394701855,20,0.95055000000000001,True,True
MIX,0.035000000000000003,19430.741750000001,19388.290655539953,19473.192844460049,28.571428571428569,0.96630000000000005,True,True
MIX,0.025000000000000001,19593.04045,19557.006554496787,19629.074345503213,40,0.97585,True,True
MIX,0.014999999999999999,19753.728350000001,19725.642820230605,19781.813879769397,66.666666666666671,0.98529999999999995,True,True
MIX,0.01,19841.7991,19819.179228939865,19864.418971060135,100,0.99060000000000004,True,True
eCUSUM,0.10000000000000001,205.95585,203.54422847766668,208.36747152233332,10,0,False,True
eCUSUM,0.070000000000000007,321.12380000000002,317.24812000017323,324.9994799998268,14.285714285714285,0,False,True
eCUSUM,0.050000000000000003,477.48894999999999,471.64896395036641,483.32893604963357,20,0,False,True
eCUSUM,0.035000000000000003,718.91224999999997,709.76287455389388,728.06162544610606,28.571428571428569,0,False,True
eCUSUM,0.025000000000000001,1058.0956000000001,1044.4604235540176,1071.7307764459827,40,0,False,True
eCUSUM,0.014999999999999999,1835.9945499999999,1811.6070649733927,1860.3820350266071,66.666666666666671,0,False,True
eCUSUM,0.01,2812.1282500000002,2774.7889141887199,2849.4675858112805,100,0.00059999999999999995,False,True
