arm,alpha,target_level,achieved_level,achieved_CI_low,achieved_CI_high,gap_pp,level_is_attainable
CUSUM,0.10000000000000001,0.10000000000000001,0.098650000000000002,0.09459410422120744,0.10286004312102774,-0.1350000000000004,False
CUSUM,0.070000000000000007,0.070000000000000007,0.069500000000000006,0.066057652611587137,0.073107690432718947,-0.050000000000000044,False
CUSUM,0.050000000000000003,0.050000000000000003,0.049299999999999997,0.046385196478274097,0.05238790482269861,-0.070000000000000617,False
CUSUM,0.035000000000000003,0.035000000000000003,0.035299999999999998,0.032830422593230782,0.037948055717312856,0.029999999999999472,False
CUSUM,0.025000000000000001,0.025000000000000001,0.025149999999999999,0.02306942521384105,0.027412951428641506,0.014999999999999736,False
CUSUM,0.014999999999999999,0.014999999999999999,0.015599999999999999,0.013973231079847942,0.017412813451306214,0.059999999999999984,False
CUSUM,0.01,0.01,0.010500000000000001,0.0091783594192317054,0.012009643879694724,0.050000000000000044,False
MIX,0.10000000000000001,0.10000000000000001,0.083750000000000005,0.079990344352495621,0.087669525664211476,-1.625,True
MIX,0.070000000000000007,0.070000000000000007,0.059799999999999999,0.05659756399820913,0.063171504545585386,-1.0200000000000007,True
MIX,0.050000000000000003,0.050000000000000003,0.042549999999999998,0.039839424212362855,0.045436269575367262,-0.74500000000000055,True
MIX,0.035000000000000003,0.035000000000000003,0.0287,0.026475026497328902,0.031105986689155315,-0.63000000000000034,True
MIX,0.025000000000000001,0.025000000000000001,0.020250000000000001,0.018388038420194076,0.022296220175638308,-0.47500000000000009,True
MIX,0.014999999999999999,0.014999999999999999,0.01205,0.010628801092715492,0.013658606894437011,-0.29499999999999993,True
MIX,0.01,0.01,0.0077499999999999999,0.0066256445437828746,0.0090634149534521303,-0.22500000000000003,True
