arm,alpha,stopping_protocol,guarantee_type,threshold,N_streams,FPR,CI_low,CI_high,bound_target,bound_respected
CUSUM,0.10000000000000001,nominal,fixed_horizon,0.10000000000000001,20000,0.098650000000000002,0.09459410422120744,0.10286004312102774,0.10000000000000001,FPR~alpha at calibration point
CUSUM,0.10000000000000001,extended,fixed_horizon,0.10000000000000001,20000,0.00050000000000000001,0.00027162114501557598,0.00092022287503294481,0.10000000000000001,True
CUSUM,0.10000000000000001,peeking,fixed_horizon,0.10000000000000001,20000,0.34644999999999998,0.33988538873550606,0.35307358553732365,0.10000000000000001,False
CUSUM,0.070000000000000007,nominal,fixed_horizon,0.070000000000000007,20000,0.069500000000000006,0.066057652611587137,0.073107690432718947,0.070000000000000007,FPR~alpha at calibration point
CUSUM,0.070000000000000007,extended,fixed_horizon,0.070000000000000007,20000,0.00044999999999999999,0.00023677111614002098,0.00085509210751411025,0.070000000000000007,True
CUSUM,0.070000000000000007,peeking,fixed_horizon,0.070000000000000007,20000,0.2515,0.24553501501581107,0.25756042690407294,0.070000000000000007,False
CUSUM,0.050000000000000003,nominal,fixed_horizon,0.050000000000000003,20000,0.049299999999999997,0.046385196478274097,0.05238790482269861,0.050000000000000003,FPR~alpha at calibration point
CUSUM,0.050000000000000003,extended,fixed_horizon,0.050000000000000003,20000,0.00035,0.00016955317759555281,0.00072234845326979956,0.050000000000000003,True
CUSUM,0.050000000000000003,peeking,fixed_horizon,0.050000000000000003,20000,0.18010000000000001,0.17483596670212601,0.18548689796656972,0.050000000000000003,False
CUSUM,0.035000000000000003,nominal,fixed_horizon,0.035000000000000003,20000,0.035299999999999998,0.032830422593230782,0.037948055717312856,0.035000000000000003,FPR~alpha at calibration point
CUSUM,0.035000000000000003,extended,fixed_horizon,0.035000000000000003,20000,0.00025000000000000001,0.00010678963454394949,0.00058515040353262376,0.035000000000000003,True
CUSUM,0.035000000000000003,peeking,fixed_horizon,0.035000000000000003,20000,0.13025,0.12565626156914686,0.13498574909434249,0.035000000000000003,False
CUSUM,0.025000000000000001,nominal,fixed_horizon,0.025000000000000001,20000,0.025149999999999999,0.02306942521384105,0.027412951428641506,0.025000000000000001,FPR~alpha at calibration point
CUSUM,0.025000000000000001,extended,fixed_horizon,0.025000000000000001,20000,0.00014999999999999999,5.1014817994950553e-05,0.00044096362729284348,0.025000000000000001,True
CUSUM,0.025000000000000001,peeking,fixed_horizon,0.025000000000000001,20000,0.092600000000000002,0.088660525134512183,0.09669594584400186,0.025000000000000001,False
CUSUM,0.014999999999999999,nominal,fixed_horizon,0.014999999999999999,20000,0.015599999999999999,0.013973231079847942,0.017412813451306214,0.014999999999999999,FPR~alpha at calibration point
CUSUM,0.014999999999999999,extended,fixed_horizon,0.014999999999999999,20000,5.0000000000000002e-05,8.8262822729748237e-06,0.00028319057022604022,0.014999999999999999,True
