arm,alpha,eta,N_streams,DetRate,DetRate_CI_low,DetRate_CI_high,ADD,SEM
CUSUM,0.10000000000000001,0.02,2000,0.098000000000000004,0.085730207557197693,0.11181109845692967,1240.1071428571429,50.456193229208807
CUSUM,0.10000000000000001,0.040000000000000001,2000,0.29849999999999999,0.27884695860485476,0.31892561144949005,1193.3953098827471,28.595455724997624
CUSUM,0.10000000000000001,0.059999999999999998,2000,0.629,0.60760036312565413,0.64990503867578253,1081.2527821939586,19.084773497585459
CUSUM,0.10000000000000001,0.080000000000000002,2000,0.89000000000000001,0.87553236952591962,0.90297233359470308,800.57528089887637,14.240088623660604
CUSUM,0.10000000000000001,0.10000000000000001,2000,0.94799999999999995,0.93738204584555529,0.95690027979044201,465.58069620253167,8.6246138097046483
CUSUM,0.10000000000000001,0.12,2000,0.94799999999999995,0.93738204584555529,0.95690027979044201,277.68354430379748,4.6469572039049805
CUSUM,0.10000000000000001,0.14000000000000001,2000,0.94850000000000001,0.93792512863905486,0.95735527994966119,191.23721665788085,2.7942596924388878
CUSUM,0.10000000000000001,0.16,2000,0.95550000000000002,0.94555623505518538,0.96369733487159315,140.03506017791733,1.777234965639743
CUSUM,0.10000000000000001,0.17999999999999999,2000,0.95750000000000002,0.94774708144775155,0.96549882028990197,111.29399477806788,1.2564614861483021
CUSUM,0.10000000000000001,0.20000000000000001,2000,0.95150000000000001,0.94118899974790571,0.96007990655712283,90.524435102469781,0.92770940590408491
CUSUM,0.070000000000000007,0.02,2000,0.069500000000000006,0.059160340573897574,0.081490237135261212,1227.2086330935251,60.03239078324323
CUSUM,0.070000000000000007,0.040000000000000001,2000,0.24049999999999999,0.22227810259192771,0.2597168449470425,1214.1351351351352,31.466562067028441
CUSUM,0.070000000000000007,0.059999999999999998,2000,0.57799999999999996,0.55622592722367159,0.59947501340045295,1144.7430795847752,20.298601311920521
CUSUM,0.070000000000000007,0.080000000000000002,2000,0.872,0.85664166396849417,0.88593205285425358,855.1043577981651,14.76447902875343
CUSUM,0.070000000000000007,0.10000000000000001,2000,0.96050000000000002,0.95104330732557307,0.96819109212839294,503.02498698594479,9.0598515051735387
CUSUM,0.070000000000000007,0.12,2000,0.96150000000000002,0.95214489297600824,0.96908567238339527,303.8179927197088,5.049226748453675
CUSUM,0.070000000000000007,0.14000000000000001,2000,0.96699999999999997,0.95823223053959927,0.97397724729971025,202.25232678386763,2.8897953380358148
