K,delay_boot,delay_naive,detection_date
1,-1,-1,
5,-1,655,
10,-1,-1,
20,-1,291,
30,-1,562,
40,-1,398,
50,-1,505,
60,-1,489,
75,-1,21,
97,-1,15,
