ticker,phase_id,phase_type,start_date,end_date,T_days,ann_return,ann_vol,vol_pct,sharpe,q_ref,q_phase,delta_q,alpha,ADD_min_days,detectable_flag,pathology_class,episode_label
SPY,0,bear,2000-03-24,2001-04-04,260,-0.3133860340575426,0.22473097633072833,0.4666666666666667,-1.394494159969936,0.5411599625818522,0.46153846153846156,-0.07962150104339061,0.05,776.4261160454892,False,neither,
SPY,1,bull,2001-04-04,2001-05-21,33,1.3385688792224133,0.230245997051785,0.5,5.813646692504077,0.5411599625818522,0.6060606060606061,0.0649006434787539,0.05,44.67208923340501,False,location,
SPY,2,bear,2001-05-21,2001-09-21,83,-0.8855709113392873,0.19045258528563522,0.2,-4.64982352437555,0.5411599625818522,0.42168674698795183,-0.11947321559390034,0.05,69.83298301379139,True,location,
SPY,3,bull,2001-09-21,2001-12-05,53,0.8318855495473468,0.19949762447704378,0.26666666666666666,4.169902031305,0.5411599625818522,0.5094339622641509,-0.03172600031770123,0.05,86.83240528318446,False,location,
SPY,4,bear,2001-12-05,2002-07-23,158,-0.5829423758092275,0.2112635417619422,0.43333333333333335,-2.7593136560500513,0.5411599625818522,0.4240506329113924,-0.11710932967045978,0.05,198.30396326152066,False,location,
SPY,5,bull,2002-07-23,2002-08-22,23,1.783625798008332,0.4181131842150793,0.8666666666666667,4.265892263973257,0.5411599625818522,0.6086956521739131,0.06753568959206091,0.05,82.9686012582455,False,both,
SPY,6,bear,2002-08-22,2002-10-09,34,-1.4919853136598036,0.298347940582409,0.7666666666666667,-5.000823235941495,0.5411599625818522,0.38235294117647056,-0.1588070214053816,0.05,60.374080153099136,False,both,
SPY,7,bull,2002-10-09,2002-11-27,36,1.1485103591778005,0.2878804642833538,0.7333333333333333,3.9895390680186953,0.5411599625818522,0.6111111111111112,0.06995114852925899,0.05,94.86108550145644,False,location,
SPY,8,bear,2002-11-27,2003-03-11,70,-0.47109244994539173,0.20998793244304576,0.4,-2.243426298190561,0.5411599625818522,0.38571428571428573,-0.15544567686756644,0.05,299.99217145764857,False,location,
SPY,9,bull,2003-03-11,2007-10-09,1155,0.15957279477596276,0.12153000887869406,0.03333333333333333,1.3130320342133879,0.5411599625818522,0.5532467532467532,0.012086790664901037,0.05,875.755535512336,True,neither,
SPY,10,bear,2007-10-09,2008-10-27,266,-0.5538143157769658,0.30140221723511673,0.8,-1.8374593287910301,0.5411599625818522,0.4849624060150376,-0.05619755656681458,0.05,447.19615895227895,False,neither,GFC_2008
SPY,11,bull,2008-10-27,2008-11-04,7,5.080044014295194,0.6723758440553811,0.9666666666666667,7.55536365443368,0.5411599625818522,0.5714285714285714,0.030268608846719225,0.05,26.44982417296966,False,both,
SPY,12,bear,2008-11-04,2008-11-20,13,-4.783981047888288,0.6490056830766089,0.9333333333333333,-7.371246774311505,0.5411599625818522,0.3076923076923077,-0.23346765488954446,0.05,27.78763804000215,False,both,GFC_2008
SPY,13,bull,2008-11-20,2009-01-06,31,1.1865933370780675,0.529037720665885,0.9,2.2429276604029966,0.5411599625818522,0.5806451612903226,0.03948519870847045,0.05,300.12557215809255,False,both,
SPY,14,bear,2009-01-06,2009-03-09,43,-1.8295865615350475,0.36951419914641115,0.8333333333333334,-4.95132951794937,0.5411599625818522,0.4186046511627907,-0.12255531141906145,0.05,61.58711696161442,False,both,
SPY,15,bull,2009-03-09,2010-04-23,285,0.5291309470365047,0.20972807364635984,0.36666666666666664,2.5229380971129163,0.5411599625818522,0.6175438596491228,0.07638389706727067,0.05,237.20309155559644,True,location,
SPY,16,bear,2010-04-23,2010-07-02,50,-0.8297779136565824,0.26799639848031737,0.6666666666666666,-3.0962278536646988,0.5411599625818522,0.4,-0.14115996258185215,0.05,157.49533993404694,False,location,
SPY,17,bull,2010-07-02,2011-04-29,209,0.3614820960300993,0.14075792235626486,0.16666666666666666,2.5681119043173375,0.5411599625818522,0.6076555023923444,0.06649553981049228,0.05,228.9315489032598,False,location,
SPY,18,bear,2011-04-29,2011-10-03,109,-0.47274151107205675,0.2681211772422844,0.7,-1.7631636409117721,0.5411599625818522,0.48623853211009177,-0.0549214304717604,0.05,485.67784370527045,False,neither,
SPY,19,bull,2011-10-03,2018-09-20,1754,0.15686271027256185,0.12888716925857274,0.06666666666666667,1.2170545072478451,0.5411599625818522,0.5535917901938426,0.012431827611990465,0.05,1019.3268791355868,True,neither,MeltUp_2017
SPY,20,bear,2018-09-20,2018-12-24,66,-0.8080309153808666,0.20486917165005947,0.3333333333333333,-3.9441313149890505,0.5411599625818522,0.4090909090909091,-0.13206905349094306,0.05,97.05788045947065,False,location,
SPY,21,bull,2018-12-24,2020-02-19,290,0.313112979771755,0.13441058715593485,0.1,2.3295261660340842,0.5411599625818522,0.5862068965517241,0.045046933969871916,0.05,278.2264078826238,True,location,Calm_2015_or_2019
SPY,22,bear,2020-02-19,2020-03-23,24,-4.3459025913285885,0.7537933365413741,1.0,-5.76537676927322,0.5411599625818522,0.2916666666666667,-0.2494932959151855,0.05,45.42324398437214,False,both,COVID_2020
SPY,23,bull,2020-03-23,2022-01-03,451,0.41807101159807647,0.1938362464676746,0.23333333333333334,2.156825770291609,0.5411599625818522,0.5898004434589801,0.04864048087712791,0.05,324.56628660159953,True,location,
SPY,24,bear,2022-01-03,2022-06-16,115,-0.5601445812903215,0.24835290683756772,0.5666666666666667,-2.2554379911352416,0.5411599625818522,0.4434782608695652,-0.09768170171228696,0.05,296.80536819607704,False,location,
