gamma,seed,stream,p_data,p_concept
1,1731479197,1,0.088016396807120895,0.24960894367617217
1,2728807953,2,0.58188714879514092,0.42534142544889725
1,2800197893,3,0.36019526557235615,0.072194775514012571
1,3253716620,4,0.83497740459323455,0.089833060069502563
1,318392653,5,0.4487538116467048,0.98918000594659816
1,2123620215,6,0.8923406781821569,0.90249331192321192
1,4277785051,7,0.99941799044247603,0.73204968591916797
1,368898728,8,0.52570274674426321,0.31291678403933804
1,1427182773,9,0.67643302510400027,0.9681905691164191
1,1625798653,10,0.086177238344237142,0.82553402542852594
1,3415343975,11,0.81699876434207197,0.29863969007514946
1,1978188187,12,0.41266620404384091,0.30730997156067358
1,3626544160,13,0.6220322724614451,0.170951565733064
1,3194300767,14,0.30714498704766996,0.17595398060466505
1,1979835258,15,0.11327864820209302,0.0090656805192615725
1,6575146,16,0.00025038373868557155,0.19205789855901564
1,3888676925,17,0.015989094087633049,0.17185479208967261
1,1549396521,18,0.51894077828514873,0.13307524159753154
1,4070666040,19,0.71057065443815604,0.71881105166046644
1,2355664338,20,0.55373665420643137,0.14912633434891495
1,597025837,21,0.86632268730656559,0.38656804499854369
1,2506752078,22,0.75999361997351444,0.61278913899933285
1,1802623254,23,0.98997225815037537,0.25048558193497222
1,1679930460,24,0.22147062293634864,0.32087907852278569
1,3944863465,25,0.0040190729839674217,0.97665633321946943
1,2677702525,26,0.53611018924055731,0.73475825572653986
1,2902947167,27,0.78587845833451164,0.95487422299740943
1,2673371918,28,0.91723077094944072,0.30828203437110868
1,2783962531,29,0.27234511451490884,0.84664365849670764
1,1399335364,30,0.0019093238208024276,0.486518873137334
1,3366221323,31,0.48950434637940543,0.91354387138425697
1,2106578262,32,0.94699567076381175,0.6941114751351658
1,2045937027,33,0.87878179261429168,0.49812057423933997
1,3103988250,34,0.40370443692256919,0.76785601835950323
1,4159419713,35,0.70604792322758048,0.053077003542323885
1,3440180902,36,0.5977873061825717,0.35876631286758409
1,1374047148,37,0.59535962224755745,0.35687015825834156
1,1014490152,38,0.99460503465572625,0.34710736044034618
1,3403149523,39,0.22055954181288587,0.3030757502878112
1,1005830707,40,0.67004365253503351,0.053655660338329414
1,1438322689,41,0.85607150702058021,0.8837577950929103
1,1879730666,42,0.98895361459067022,0.46749199923754736
1,3033125398,43,0.64982821267886171,0.44957382080439262
1,1086986536,44,0.30728930574882873,0.86561361597672803
1,624082123,45,0.00096851994093705694,0.53427783684225294
1,3204487031,46,0.17391377294529523,0.03542360711102905
1,3439148093,47,0.99593415168744626,0.12239844323844409
1,2070045354,48,0.5794130132521953,0.19692143699296405
1,3352000007,49,0.8925287814716637,0.50140936416177606
1,3886456762,50,0.2834500527556798,0.71574361400956288
1,954711633,51,0.87138416450579448,0.29754702494755103
1,968107470,52,0.86637747667541976,0.60383789736479243
1,2343699273,53,0.92373799738588258,0.85590031484827001
1,3079872599,54,0.27727544316772507,0.11134658589413848
1,4288023115,55,0.50892286615651194,0.78727925365148566
1,3264117078,56,0.50478305704838777,0.66607171392205
1,3168072099,57,0.89685973051368617,0.8719287852632911
1,2360761721,58,0.49391647307498221,0.48000683919627696
1,3525240836,59,0.94071388318633242,0.14823629220382356
1,2478592361,60,0.63129862657646318,0.11492656489859031
1,3663111903,61,0.75214333470953876,0.43445157357333192
1,753182788,62,0.06577181924583303,0.63629436081643398
1,1014991053,63,0.93991809980168461,0.44227340546226596
1,223793947,64,0.27370197071618735,0.57365412960046325
1,2457888093,65,0.93819614934358719,0.8521097959611772
1,3176192034,66,0.17289230707052777,0.18872604378263119
1,3726505401,67,0.66059169055603306,0.88236938721148039
1,720868672,68,0.33832451811469028,0.85857948572000053
1,3079603471,69,0.95426712936131297,0.28999932734066314
1,2147833617,70,0.94014911686472891,0.88387164014194419
1,2825430333,71,0.02713034041036182,0.74557839466595854
1,1537300277,72,0.60905482998540283,0.96878542575156523
1,3012588118,73,0.93331613547021031,0.84948505244109707
1,1946509278,74,0.452974054594102,0.21070744190972038
1,4264579091,75,0.029741718221288235,0.86211059354732367
1,2184175628,76,0.024925880862370388,0.72992724680660015
1,2324636457,77,0.97046454379154656,0.34689117192465135
1,3957385411,78,0.88453918340645477,0.48677068288444114
1,734364306,79,0.51496942615628749,0.010469042545500707
1,2194008431,80,0.58066042104396276,0.86091813826450725
1,1098218815,81,0.83538234813875212,0.99031369447367434
1,822799024,82,0.14972672055935796,0.92944277629299665
1,2463332469,83,0.60989330558540744,0.3362385126289365
1,2357246814,84,0.9898747210990172,0.18640524711261228
1,71066936,85,0.74075138173725286,0.33301851919604447
1,377017826,86,0.97433053800881153,0.97865951899215986
1,3488708477,87,0.39291013464417757,0.60891763159325474
1,1541462716,88,0.99967249884400988,0.84667401452358604
1,3693632605,89,0.51970385594290236,0.63562252525570651
