gamma,seed,p_data,p_concept
1,1,0.21217317177445269,0.14642305709315903
1,2,0.12518395308049757,0.54037461840996559
1,3,0.95088351982575392,0.61922897703920032
1,4,0.93591805642454939,0.95805271411496529
1,5,0.57891705173507446,0.15489369230391925
1,6,0.52747699177147966,0.78773768154948642
1,7,0.73136093368889321,0.60899086864986074
1,8,0.022081522707161697,0.73480968923201351
1,9,0.056429771437764696,0.83405029822156729
1,10,0.44516061706404275,0.085791481183518106
1,11,0.57218396784440295,0.27875989195100781
1,12,0.53159899131847754,0.97906010559907575
1,13,0.84377357673341091,0.95995552799152939
1,14,0.52174894520116355,0.80260899520808549
1,15,0.30878322355938975,0.56798671925665822
1,16,0.51753842364470171,0.49624723210247534
1,17,0.25852831949108751,0.42205184580530603
1,18,0.16903955372441085,0.22816697772497585
1,19,0.46583450310267194,0.37585951286588426
1,20,0.91380343143185072,0.18779644457080544
1,21,0.24615029603695968,0.86531797526917464
1,22,0.70290425451189542,0.78621901678262718
1,23,0.57960028667505792,0.95470609588172406
1,24,0.56418680136462551,0.19209289568624777
1,25,0.46813303837382514,0.66457745367796994
1,26,0.7334753368919058,0.51769951951762683
1,27,0.37531023750047321,0.20138624445885517
1,28,0.4962408353992187,0.006334897157563673
1,29,0.63990586047303011,0.065660858947599918
1,30,0.40729084276672295,0.56341125836634998
1,31,0.37236140599025086,0.92285927847586557
1,32,0.19210630329251316,0.53333336427708655
1,33,0.54524473159676101,0.14196589730684525
1,34,0.99046661614545728,0.58467539501048948
1,35,0.88800515651310019,0.85786172825826768
1,36,0.00035345761259240318,0.74123448494943067
1,37,0.058582043253375911,0.36703560518542266
1,38,0.66931885579192452,0.57163545253852943
1,39,0.73539260589237843,0.39127223360794405
1,40,0.96945227186079208,0.58128865938099572
1,41,0.43349739333330239,0.37810038634825888
1,42,0.89226823147439371,0.087676998555421937
1,43,0.37888197114694316,0.7871068544099824
1,44,0.7799114739654015,0.24562094724926406
1,45,0.61434776225365273,0.32115550799984782
1,46,0.20291280789203703,0.56986817141639923
1,47,0.69417228244845286,0.4331546022287357
1,48,0.24558736622752095,0.89881006506361361
1,49,0.90032812705166876,0.57724414370334387
1,50,0.1962482508844923,0.54825044243495114
1,51,0.90867134230678315,0.49655165193630812
1,52,0.50557084191770962,0.80757181612193596
1,53,0.46685898476032528,0.5508098157028638
1,54,0.44065237248557715,0.93243794152524306
1,55,0.052331103657252201,0.5240481619502888
1,56,0.8479963529759118,0.13007946113831534
1,57,0.82654910758905697,0.24078852947730506
1,58,0.42221066238751481,0.71961835035866284
1,59,0.894822998045258,0.141760747087289
1,60,0.97731465201787637,0.34368195237347143
1,61,0.81243524376470999,0.61298722201466482
1,62,0.98220177408550446,0.59822290841312586
1,63,0.83403837522438007,0.46236101090068771
1,64,0.58229160789505052,0.76679307686934983
1,65,0.093329292628618929,0.90473468252865408
1,66,0.58549062920971251,0.20098770495950186
1,67,0.93376999279031625,0.55374667112686071
1,68,0.84675491533370051,0.026969961531827555
1,69,0.046301271600436719,0.58181304775136244
1,70,0.22530325955958549,0.96050777890755412
1,71,0.29124514942505486,0.16770489182144208
1,72,0.68160390520737024,0.29981471173214358
1,73,0.42074551681214123,0.70988656432937003
1,74,0.99956288651735803,0.38367553914575631
1,75,0.8952856046772254,0.89664099917692119
1,76,0.70871487745614536,0.35039471445330006
1,77,0.33022677977829629,0.15842960654210625
1,78,0.32236973122365081,0.5778354466971225
1,79,0.81803832096999951,0.76645071578260282
1,80,0.98443493817820349,0.76110319486472011
1,81,0.58079260396323407,0.25368135786325585
1,82,0.98043763812917029,0.30777748091749196
1,83,0.0084573832848603165,0.30193718025912397
1,84,0.80327108207474263,0.91481833214483022
1,85,0.023508004958825251,0.80686725310675622
1,86,0.35307515703902764,0.94153093152515166
1,87,0.66805666222694626,0.40207077951679465
1,88,0.0066480890328076371,0.58084549033285904
1,89,0.37446500363172042,0.55588571850738022
1,90,0.50077227263160007,0.0068622579033020626
1,91,0.93483219529566952,0.99377473205694988
1,92,0.6126673402391376,0.6934244725091081
1,93,0.44636715534536053,0.47767971062473824
1,94,0.27503583564239448,0.97212924117284105
1,95,0.88217181747858997,0.33119471964790481
1,96,0.80823075192310023,0.60257602553767597
1,97,0.1816769132027623,0.17961190426569887
1,98,0.94949569259655853,0.069299512410000957
1,99,0.15230617215568729,0.84993394091473007
1,100,0.97608200030212,0.67535978673130603
2,1,9.0915982305510896e-19,0.37751610990214057
2,2,5.0042164628207694e-18,0.13794322479162979
2,3,1.7800886039036681e-44,0.14100532403244809
2,4,8.5631659729648548e-31,0.8040545128152099
2,5,1.2491191033190932e-23,0.87705867482110622
2,6,7.8866627230510906e-52,0.52686731469893644
2,7,1.6464415822608985e-24,0.83429868340752611
2,8,1.4468510729255692e-29,0.72474130704055439
2,9,2.5344171508865324e-29,0.20667243825120529
2,10,2.6207371363072919e-18,0.11144270811154473
2,11,5.6207988328525022e-57,0.94312834240850452
2,12,5.4860909441846972e-30,0.49782717216092365
2,13,8.7191283183958329e-39,0.35091853460927452
2,14,1.0151582955134844e-37,0.44081794495802201
2,15,5.7381089542254168e-38,0.25514900856058192
2,16,1.8025980338923934e-40,0.092327159121777858
2,17,1.7627788383496914e-49,0.20490656721949535
2,18,6.356408799136946e-123,0.024412193016395845
2,19,2.4721956240529254e-45,0.0035119551864891845
2,20,1.3013935654539542e-16,0.046367970467377957
2,21,3.5064421831115665e-22,0.8639569288104727
2,22,1.436928270287336e-42,0.1821199208194593
2,23,1.2295276801667802e-29,0.8912985989083394
2,24,2.2683175406480634e-47,0.0083699580597580772
2,25,3.6177331068590038e-65,0.9608049100684577
2,26,4.3852179542605733e-43,0.36756511451844509
2,27,7.102757818905087e-26,0.34915824856657024
2,28,2.6367382611944564e-44,0.42677584500575155
2,29,4.2932885170692786e-18,0.16687629620836103
2,30,1.5322070308572126e-35,0.46565618829224509
2,31,1.4544329313993194e-100,0.39682034473924066
2,32,3.910504850969702e-60,0.65314605866270947
2,33,1.8020420018674423e-19,0.43587287340895975
2,34,1.4282846328594212e-32,0.046135040262341054
2,35,6.6063052280450373e-27,0.6547825480268552
2,36,1.3492858062655969e-13,0.058819467170559712
2,37,3.2338773916472029e-57,0.23416398369743979
2,38,2.8611026810800234e-42,0.14999086798668207
2,39,1.0621477047374325e-52,0.15760272985580359
2,40,3.8875293994785002e-37,0.18370493216537417
2,41,5.1193789952010759e-16,0.25669086932285357
2,42,9.2851691722022523e-80,0.42222125747312178
2,43,1.6796414954060571e-49,0.6574138093030395
2,44,1.0586921538435551e-17,0.48248113923252833
2,45,3.2553853624305162e-42,0.15643542864783003
2,46,6.9744221150657164e-27,0.22910311437097389
2,47,4.2117607515326347e-26,0.17178183959891705
2,48,8.2184580528869899e-32,0.60218942192440361
2,49,1.3436580251921566e-35,0.71402313624179559
2,50,1.1756266080661482e-10,0.28681122422700744
2,51,9.6126533766837736e-41,0.088406529934124747
2,52,1.3762389299442541e-26,0.78071182768127134
2,53,5.4725123913107738e-18,0.068640079286118122
2,54,1.2782540345276721e-44,0.76937895790308775
2,55,7.9971200091445278e-37,0.36838546432494612
2,56,1.1492901684988769e-58,0.69016330694142547
2,57,1.2185695150373796e-61,0.40509133458585694
2,58,2.3167407392286749e-32,0.43782404040935796
2,59,1.8013138635126625e-38,0.085399023495414797
2,60,1.5750342973423527e-25,0.10384296010492944
2,61,2.8284765281620206e-32,0.048775828336368059
2,62,8.5061640344852403e-21,0.66467918647815649
2,63,1.8288612044933975e-78,0.47171966045975167
